DPT_ID,Format,DPT_Name
1.001,B1,DPT_Switch
1.002,B1,DPT_Bool
1.003,B1,DPT_Enable
1.004,B1,DPT_Ramp
1.005,B1,DPT_Alarm
1.006,B1,DPT_BinaryValue
1.007,B1,DPT_Step
1.008,B1,DPT_UpDown
1.009,B1,DPT_OpenClose
1.01,B1,DPT_Start
1.011,B1,DPT_State
1.012,B1,DPT_Invert
1.013,B1,DPT_DimSendStyle
1.014,B1,DPT_InputSource
1.015,B1,DPT_Reset
1.016,B1,DPT_Ack
1.017,B1,DPT_Trigger
1.018,B1,DPT_Occupancy
1.019,B1,DPT_Window_Door
1.021,B1,DPT_LogicalFunction
1.022,B1,DPT_Scene_AB
1.023,B1,DPT_ShutterBlinds_Mode
1.024,B1,DPT_DayNight
1.1,B1,DPT_Heat/Cool
1.12,B1,DPT_ConsumerProducer
1.1201,B1,DPT_EnergyDirection
2.001,B2,DPT_Switch_Control
2.002,B2,DPT_Bool_Control
2.003,B2,DPT_Enable_Control
2.004,B2,DPT_Ramp_Control
2.005,B2,DPT_Alarm_Control
2.006,B2,DPT_BinaryValue_Control
2.007,B2,DPT_Step_Control
2.008,B2,DPT_Direction1_Control
2.009,B2,DPT_Direction2_Control
2.01,B2,DPT_Start_Control
2.011,B2,DPT_State_Control
2.012,B2,DPT_Invert_Control
3.007,B1U 3,DPT_Control_Dimming
3.008,B1U 3,DPT_Control_Blinds
4.001,A8,DPT_Char_ASCII
4.002,A8,DPT_Char_8859_1
5.001,U 8,DPT_Scaling
5.003,U 8,DPT_Angle
5.004,U 8,DPT_Percent_U8
5.005,U 8,DPT_DecimalFactor
5.006,U 8,DPT_Tariff
5.01,U 8,DPT_Value_1_Ucount
6.001,V8,DPT_Percent_V8
6.01,V8,DPT_Value_1_Count
6.02,B5N 3,DPT_Status_Mode3
7.001,U 16,DPT_Value_2_Ucount
7.002,U 16,DPT_TimePeriodMsec
7.003,U 16,DPT_TimePeriod10MSec
7.004,U 16,DPT_TimePeriod100MSec
7.005,U 16,DPT_TimePeriodSec
7.006,U 16,DPT_TimePeriodMin
7.007,U 16,DPT_TimePeriodHrs
7.01,U 16,DPT_PropDataType
7.011,U 16,DPT_Length_mm
7.012,U 16,DPT_UElCurrentmA
7.013,U 16,DPT_Brightness
7.6,U 16,DPT_Absolute_Colour_Temperature
8.001,V16,DPT_Value_2_Count
8.002,V16,DPT_DeltaTimeMsec
8.003,V16,DPT_DeltaTime10MSec
8.004,V16,DPT_DeltaTime100MSec
8.005,V16,DPT_DeltaTimeSec
8.006,V16,DPT_DeltaTimeMin
8.007,V16,DPT_DeltaTimeHrs
8.01,V16,DPT_Percent_V16
8.011,V16,DPT_Rotation_Angle
8.012,V16,DPT_Length_m
9.001,F 16,DPT_Value_Temp
9.002,F 16,DPT_Value_Tempd
9.003,F 16,DPT_Value_Tempa
9.004,F 16,DPT_Value_Lux
9.005,F 16,DPT_Value_Wsp
9.006,F 16,DPT_Value_Pres
9.007,F 16,DPT_Value_Humidity
9.008,F 16,DPT_Value_AirQuality
